"datetime","date","level-i-900-m-qualified","epoch"
"2018-01-02 00:00:00","2018-01-02",3.838,1514851200000
"2018-01-02 00:15:00","2018-01-02",3.839,1514852100000
"2018-01-02 00:30:00","2018-01-02",3.839,1514853000000
"2018-01-02 00:45:00","2018-01-02",3.84,1514853900000
"2018-01-02 01:00:00","2018-01-02",3.84,1514854800000
"2018-01-02 01:15:00","2018-01-02",3.841,1514855700000
"2018-01-02 01:30:00","2018-01-02",3.841,1514856600000
"2018-01-02 01:45:00","2018-01-02",3.842,1514857500000
"2018-01-02 02:00:00","2018-01-02",3.843,1514858400000
"2018-01-02 02:15:00","2018-01-02",3.843,1514859300000
"2018-01-02 02:30:00","2018-01-02",3.843,1514860200000
"2018-01-02 02:45:00","2018-01-02",3.844,1514861100000
"2018-01-02 03:00:00","2018-01-02",3.844,1514862000000
"2018-01-02 03:15:00","2018-01-02",3.845,1514862900000
"2018-01-02 03:30:00","2018-01-02",3.845,1514863800000
"2018-01-02 03:45:00","2018-01-02",3.845,1514864700000
"2018-01-02 04:00:00","2018-01-02",3.845,1514865600000
"2018-01-02 04:15:00","2018-01-02",3.845,1514866500000
"2018-01-02 04:30:00","2018-01-02",3.845,1514867400000
"2018-01-02 04:45:00","2018-01-02",3.845,1514868300000
"2018-01-02 05:00:00","2018-01-02",3.845,1514869200000
"2018-01-02 05:15:00","2018-01-02",3.846,1514870100000
"2018-01-02 05:30:00","2018-01-02",3.846,1514871000000
"2018-01-02 05:45:00","2018-01-02",3.846,1514871900000
"2018-01-02 06:00:00","2018-01-02",3.846,1514872800000
"2018-01-02 06:15:00","2018-01-02",3.846,1514873700000
"2018-01-02 06:30:00","2018-01-02",3.846,1514874600000
"2018-01-02 06:45:00","2018-01-02",3.846,1514875500000
"2018-01-02 07:00:00","2018-01-02",3.846,1514876400000
"2018-01-02 07:15:00","2018-01-02",3.846,1514877300000
"2018-01-02 07:30:00","2018-01-02",3.846,1514878200000
"2018-01-02 07:45:00","2018-01-02",3.846,1514879100000
"2018-01-02 08:00:00","2018-01-02",3.846,1514880000000
"2018-01-02 08:15:00","2018-01-02",3.845,1514880900000
"2018-01-02 08:30:00","2018-01-02",3.845,1514881800000
"2018-01-02 08:45:00","2018-01-02",3.845,1514882700000
"2018-01-02 09:00:00","2018-01-02",3.845,1514883600000
"2018-01-02 09:15:00","2018-01-02",3.845,1514884500000
"2018-01-02 09:30:00","2018-01-02",3.844,1514885400000
"2018-01-02 09:45:00","2018-01-02",3.845,1514886300000
"2018-01-02 10:00:00","2018-01-02",3.844,1514887200000
"2018-01-02 10:15:00","2018-01-02",3.845,1514888100000
"2018-01-02 10:30:00","2018-01-02",3.845,1514889000000
