"datetime","date","flow-i-900-m3s-qualified","epoch"
"2020-01-02 00:00:00","2020-01-02",156.0,1577923200000
"2020-01-02 00:15:00","2020-01-02",156.0,1577924100000
"2020-01-02 00:30:00","2020-01-02",155.0,1577925000000
"2020-01-02 00:45:00","2020-01-02",155.0,1577925900000
"2020-01-02 01:00:00","2020-01-02",155.0,1577926800000
"2020-01-02 01:15:00","2020-01-02",155.0,1577927700000
"2020-01-02 01:30:00","2020-01-02",154.0,1577928600000
"2020-01-02 01:45:00","2020-01-02",155.0,1577929500000
"2020-01-02 02:00:00","2020-01-02",155.0,1577930400000
"2020-01-02 02:15:00","2020-01-02",154.0,1577931300000
"2020-01-02 02:30:00","2020-01-02",155.0,1577932200000
"2020-01-02 02:45:00","2020-01-02",154.0,1577933100000
"2020-01-02 03:00:00","2020-01-02",154.0,1577934000000
"2020-01-02 03:15:00","2020-01-02",154.0,1577934900000
"2020-01-02 03:30:00","2020-01-02",152.0,1577935800000
"2020-01-02 03:45:00","2020-01-02",152.0,1577936700000
"2020-01-02 04:00:00","2020-01-02",152.0,1577937600000
"2020-01-02 04:15:00","2020-01-02",152.0,1577938500000
"2020-01-02 04:30:00","2020-01-02",152.0,1577939400000
"2020-01-02 04:45:00","2020-01-02",152.0,1577940300000
"2020-01-02 05:00:00","2020-01-02",152.0,1577941200000
"2020-01-02 05:15:00","2020-01-02",152.0,1577942100000
"2020-01-02 05:30:00","2020-01-02",152.0,1577943000000
"2020-01-02 05:45:00","2020-01-02",152.0,1577943900000
"2020-01-02 06:00:00","2020-01-02",152.0,1577944800000
"2020-01-02 06:15:00","2020-01-02",152.0,1577945700000
"2020-01-02 06:30:00","2020-01-02",152.0,1577946600000
"2020-01-02 06:45:00","2020-01-02",152.0,1577947500000
"2020-01-02 07:00:00","2020-01-02",152.0,1577948400000
"2020-01-02 07:15:00","2020-01-02",152.0,1577949300000
"2020-01-02 07:30:00","2020-01-02",152.0,1577950200000
"2020-01-02 07:45:00","2020-01-02",152.0,1577951100000
"2020-01-02 08:00:00","2020-01-02",152.0,1577952000000
"2020-01-02 08:15:00","2020-01-02",151.0,1577952900000
"2020-01-02 08:30:00","2020-01-02",151.0,1577953800000
"2020-01-02 08:45:00","2020-01-02",150.0,1577954700000
"2020-01-02 09:00:00","2020-01-02",150.0,1577955600000
"2020-01-02 09:15:00","2020-01-02",150.0,1577956500000
"2020-01-02 09:30:00","2020-01-02",150.0,1577957400000
"2020-01-02 09:45:00","2020-01-02",150.0,1577958300000
"2020-01-02 10:00:00","2020-01-02",151.0,1577959200000
"2020-01-02 10:15:00","2020-01-02",150.0,1577960100000
"2020-01-02 10:30:00","2020-01-02",149.0,1577961000000
"2020-01-02 10:45:00","2020-01-02",151.0,1577961900000
"2020-01-02 11:00:00","2020-01-02",150.0,1577962800000
"2020-01-02 11:15:00","2020-01-02",146.0,1577963700000
"2020-01-02 11:30:00","2020-01-02",148.0,1577964600000
"2020-01-02 11:45:00","2020-01-02",148.0,1577965500000
"2020-01-02 12:00:00","2020-01-02",147.0,1577966400000
"2020-01-02 12:15:00","2020-01-02",148.0,1577967300000
"2020-01-02 12:30:00","2020-01-02",148.0,1577968200000
"2020-01-02 12:45:00","2020-01-02",148.0,1577969100000
"2020-01-02 13:00:00","2020-01-02",150.0,1577970000000
"2020-01-02 13:15:00","2020-01-02",149.0,1577970900000
"2020-01-02 13:30:00","2020-01-02",149.0,1577971800000
"2020-01-02 13:45:00","2020-01-02",148.0,1577972700000
"2020-01-02 14:00:00","2020-01-02",146.0,1577973600000
"2020-01-02 14:15:00","2020-01-02",145.0,1577974500000
"2020-01-02 14:30:00","2020-01-02",144.0,1577975400000
"2020-01-02 14:45:00","2020-01-02",143.0,1577976300000
"2020-01-02 15:00:00","2020-01-02",143.0,1577977200000
