"datetime","date","ph-i-subdaily","epoch"
"2021-01-02 00:02:14","2021-01-02",7.99,1609545734000
"2021-01-02 00:17:11","2021-01-02",7.99,1609546631000
"2021-01-02 00:32:11","2021-01-02",7.99,1609547531000
"2021-01-02 00:47:12","2021-01-02",7.99,1609548432000
"2021-01-02 01:02:11","2021-01-02",7.99,1609549331000
"2021-01-02 01:17:11","2021-01-02",7.99,1609550231000
"2021-01-02 01:32:11","2021-01-02",7.99,1609551131000
"2021-01-02 01:47:12","2021-01-02",7.99,1609552032000
"2021-01-02 02:02:11","2021-01-02",7.99,1609552931000
"2021-01-02 02:17:11","2021-01-02",7.99,1609553831000
"2021-01-02 02:32:11","2021-01-02",7.99,1609554731000
"2021-01-02 02:47:11","2021-01-02",7.99,1609555631000
"2021-01-02 03:02:11","2021-01-02",7.99,1609556531000
"2021-01-02 03:17:11","2021-01-02",7.99,1609557431000
"2021-01-02 03:32:11","2021-01-02",7.98,1609558331000
"2021-01-02 03:47:11","2021-01-02",7.98,1609559231000
"2021-01-02 04:02:11","2021-01-02",7.99,1609560131000
"2021-01-02 04:17:11","2021-01-02",7.99,1609561031000
"2021-01-02 04:32:11","2021-01-02",7.97,1609561931000
"2021-01-02 04:47:11","2021-01-02",7.96,1609562831000
"2021-01-02 05:02:11","2021-01-02",7.95,1609563731000
"2021-01-02 05:17:11","2021-01-02",7.98,1609564631000
"2021-01-02 05:32:11","2021-01-02",8.0,1609565531000
"2021-01-02 05:47:11","2021-01-02",8.01,1609566431000
"2021-01-02 06:02:11","2021-01-02",8.02,1609567331000
"2021-01-02 06:17:11","2021-01-02",8.02,1609568231000
"2021-01-02 06:32:11","2021-01-02",8.02,1609569131000
"2021-01-02 06:47:11","2021-01-02",8.03,1609570031000
"2021-01-02 07:02:11","2021-01-02",8.03,1609570931000
"2021-01-02 07:17:11","2021-01-02",8.03,1609571831000
"2021-01-02 07:32:11","2021-01-02",8.03,1609572731000
"2021-01-02 07:47:11","2021-01-02",8.03,1609573631000
"2021-01-02 08:02:11","2021-01-02",8.03,1609574531000
"2021-01-02 08:17:14","2021-01-02",8.03,1609575434000
"2021-01-02 08:32:11","2021-01-02",8.04,1609576331000
"2021-01-02 08:47:11","2021-01-02",8.04,1609577231000
"2021-01-02 09:02:11","2021-01-02",8.04,1609578131000
"2021-01-02 09:17:11","2021-01-02",8.04,1609579031000
"2021-01-02 09:32:11","2021-01-02",8.04,1609579931000
"2021-01-02 09:47:11","2021-01-02",8.05,1609580831000
"2021-01-02 10:02:11","2021-01-02",8.05,1609581731000
"2021-01-02 10:17:11","2021-01-02",8.05,1609582631000
"2021-01-02 10:32:11","2021-01-02",8.05,1609583531000
"2021-01-02 10:47:11","2021-01-02",8.04,1609584431000
"2021-01-02 11:02:11","2021-01-02",8.04,1609585331000
"2021-01-02 11:17:11","2021-01-02",8.04,1609586231000
"2021-01-02 11:32:11","2021-01-02",8.04,1609587131000
"2021-01-02 11:47:13","2021-01-02",8.04,1609588033000
"2021-01-02 12:02:11","2021-01-02",8.04,1609588931000
"2021-01-02 12:17:11","2021-01-02",8.04,1609589831000
"2021-01-02 12:32:13","2021-01-02",8.03,1609590733000
"2021-01-02 12:47:12","2021-01-02",8.04,1609591632000
"2021-01-02 13:02:11","2021-01-02",8.03,1609592531000
"2021-01-02 13:17:11","2021-01-02",8.04,1609593431000
"2021-01-02 13:32:11","2021-01-02",8.03,1609594331000
"2021-01-02 13:47:11","2021-01-02",8.03,1609595231000
"2021-01-02 14:02:11","2021-01-02",8.02,1609596131000
"2021-01-02 14:17:11","2021-01-02",8.02,1609597031000
"2021-01-02 14:32:11","2021-01-02",8.02,1609597931000
"2021-01-02 14:47:11","2021-01-02",8.01,1609598831000
"2021-01-02 15:02:14","2021-01-02",8.01,1609599734000
"2021-01-02 15:17:11","2021-01-02",8.01,1609600631000
"2021-01-02 15:32:11","2021-01-02",8.01,1609601531000
"2021-01-02 15:47:11","2021-01-02",8.01,1609602431000
"2021-01-02 16:17:11","2021-01-02",8.03,1609604231000
"2021-01-02 16:32:11","2021-01-02",8.03,1609605131000
"2021-01-02 16:47:11","2021-01-02",8.03,1609606031000
