"datetime","date","turb-i-subdaily-ntu","epoch"
"2022-01-02 00:02:12","2022-01-02",-61.6,1641081732000
"2022-01-02 00:17:12","2022-01-02",-61.6,1641082632000
"2022-01-02 00:32:12","2022-01-02",-61.6,1641083532000
"2022-01-02 00:47:12","2022-01-02",-61.6,1641084432000
"2022-01-02 01:02:12","2022-01-02",-61.6,1641085332000
"2022-01-02 01:17:12","2022-01-02",-61.6,1641086232000
"2022-01-02 01:32:12","2022-01-02",-61.6,1641087132000
"2022-01-02 01:47:12","2022-01-02",-61.6,1641088032000
"2022-01-02 02:02:12","2022-01-02",-61.6,1641088932000
"2022-01-02 02:17:12","2022-01-02",-61.6,1641089832000
"2022-01-02 02:32:12","2022-01-02",-61.6,1641090732000
"2022-01-02 02:47:12","2022-01-02",-61.6,1641091632000
"2022-01-02 03:02:12","2022-01-02",-61.6,1641092532000
"2022-01-02 03:17:12","2022-01-02",-61.6,1641093432000
"2022-01-02 03:32:12","2022-01-02",-61.6,1641094332000
"2022-01-02 03:47:12","2022-01-02",-61.6,1641095232000
"2022-01-02 04:02:12","2022-01-02",-61.6,1641096132000
"2022-01-02 04:17:12","2022-01-02",-61.7,1641097032000
"2022-01-02 04:32:12","2022-01-02",-61.7,1641097932000
"2022-01-02 04:47:12","2022-01-02",-61.7,1641098832000
"2022-01-02 05:02:12","2022-01-02",-61.7,1641099732000
"2022-01-02 05:17:13","2022-01-02",-61.7,1641100633000
"2022-01-02 05:32:12","2022-01-02",-61.7,1641101532000
"2022-01-02 05:47:12","2022-01-02",-61.8,1641102432000
"2022-01-02 06:02:12","2022-01-02",-61.8,1641103332000
"2022-01-02 06:17:12","2022-01-02",-61.8,1641104232000
"2022-01-02 06:32:12","2022-01-02",-61.8,1641105132000
"2022-01-02 06:47:12","2022-01-02",-61.8,1641106032000
"2022-01-02 07:02:12","2022-01-02",-61.7,1641106932000
"2022-01-02 07:17:12","2022-01-02",-61.7,1641107832000
"2022-01-02 07:32:12","2022-01-02",-61.7,1641108732000
"2022-01-02 07:47:12","2022-01-02",-61.7,1641109632000
"2022-01-02 08:02:12","2022-01-02",-61.7,1641110532000
"2022-01-02 08:17:12","2022-01-02",-61.7,1641111432000
"2022-01-02 08:32:12","2022-01-02",-61.7,1641112332000
"2022-01-02 08:47:12","2022-01-02",-61.7,1641113232000
"2022-01-02 09:02:15","2022-01-02",-61.7,1641114135000
"2022-01-02 09:17:12","2022-01-02",-61.6,1641115032000
"2022-01-02 09:32:14","2022-01-02",-61.7,1641115934000
"2022-01-02 09:47:12","2022-01-02",-61.7,1641116832000
"2022-01-02 10:02:12","2022-01-02",-61.7,1641117732000
"2022-01-02 10:17:12","2022-01-02",-61.7,1641118632000
"2022-01-02 10:32:15","2022-01-02",-61.7,1641119535000
"2022-01-02 10:47:12","2022-01-02",-61.7,1641120432000
"2022-01-02 11:02:12","2022-01-02",-61.7,1641121332000
"2022-01-02 11:17:12","2022-01-02",-61.7,1641122232000
"2022-01-02 11:32:12","2022-01-02",-61.7,1641123132000
"2022-01-02 11:47:12","2022-01-02",-61.7,1641124032000
"2022-01-02 12:02:14","2022-01-02",-61.7,1641124934000
"2022-01-02 12:17:12","2022-01-02",-61.7,1641125832000
