"datetime","date","level-i-900-m-qualified","epoch"
"2018-01-02 00:00:00","2018-01-02",0.703,1514851200000
"2018-01-02 00:15:00","2018-01-02",0.704,1514852100000
"2018-01-02 00:30:00","2018-01-02",0.7,1514853000000
"2018-01-02 00:45:00","2018-01-02",0.701,1514853900000
"2018-01-02 01:00:00","2018-01-02",0.698,1514854800000
"2018-01-02 01:15:00","2018-01-02",0.701,1514855700000
"2018-01-02 01:30:00","2018-01-02",0.702,1514856600000
"2018-01-02 01:45:00","2018-01-02",0.697,1514857500000
"2018-01-02 02:00:00","2018-01-02",0.697,1514858400000
"2018-01-02 02:15:00","2018-01-02",0.702,1514859300000
"2018-01-02 02:30:00","2018-01-02",0.703,1514860200000
"2018-01-02 02:45:00","2018-01-02",0.702,1514861100000
"2018-01-02 03:00:00","2018-01-02",0.698,1514862000000
"2018-01-02 03:15:00","2018-01-02",0.703,1514862900000
"2018-01-02 03:30:00","2018-01-02",0.701,1514863800000
"2018-01-02 03:45:00","2018-01-02",0.7,1514864700000
"2018-01-02 04:00:00","2018-01-02",0.702,1514865600000
"2018-01-02 04:15:00","2018-01-02",0.702,1514866500000
"2018-01-02 04:30:00","2018-01-02",0.703,1514867400000
"2018-01-02 04:45:00","2018-01-02",0.699,1514868300000
"2018-01-02 05:00:00","2018-01-02",0.702,1514869200000
"2018-01-02 05:15:00","2018-01-02",0.699,1514870100000
"2018-01-02 05:30:00","2018-01-02",0.7,1514871000000
"2018-01-02 05:45:00","2018-01-02",0.702,1514871900000
"2018-01-02 06:00:00","2018-01-02",0.698,1514872800000
"2018-01-02 06:15:00","2018-01-02",0.701,1514873700000
"2018-01-02 06:30:00","2018-01-02",0.697,1514874600000
"2018-01-02 06:45:00","2018-01-02",0.705,1514875500000
"2018-01-02 07:00:00","2018-01-02",0.701,1514876400000
"2018-01-02 07:15:00","2018-01-02",0.702,1514877300000
"2018-01-02 07:30:00","2018-01-02",0.696,1514878200000
"2018-01-02 07:45:00","2018-01-02",0.696,1514879100000
"2018-01-02 08:00:00","2018-01-02",0.7,1514880000000
"2018-01-02 08:15:00","2018-01-02",0.699,1514880900000
"2018-01-02 08:30:00","2018-01-02",0.701,1514881800000
"2018-01-02 08:45:00","2018-01-02",0.701,1514882700000
"2018-01-02 09:00:00","2018-01-02",0.696,1514883600000
"2018-01-02 09:15:00","2018-01-02",0.702,1514884500000
"2018-01-02 09:30:00","2018-01-02",0.696,1514885400000
"2018-01-02 09:45:00","2018-01-02",0.698,1514886300000
"2018-01-02 10:00:00","2018-01-02",0.699,1514887200000
"2018-01-02 10:15:00","2018-01-02",0.704,1514888100000
"2018-01-02 10:30:00","2018-01-02",0.697,1514889000000
"2018-01-02 10:45:00","2018-01-02",0.695,1514889900000
"2018-01-02 11:00:00","2018-01-02",0.7,1514890800000
"2018-01-02 11:15:00","2018-01-02",0.7,1514891700000
"2018-01-02 11:30:00","2018-01-02",0.697,1514892600000
"2018-01-02 11:45:00","2018-01-02",0.704,1514893500000
"2018-01-02 12:00:00","2018-01-02",0.703,1514894400000
"2018-01-02 12:15:00","2018-01-02",0.7,1514895300000
"2018-01-02 12:30:00","2018-01-02",0.702,1514896200000
"2018-01-02 12:45:00","2018-01-02",0.705,1514897100000
"2018-01-02 13:00:00","2018-01-02",0.701,1514898000000
"2018-01-02 13:15:00","2018-01-02",0.701,1514898900000
"2018-01-02 13:30:00","2018-01-02",0.701,1514899800000
"2018-01-02 13:45:00","2018-01-02",0.701,1514900700000
"2018-01-02 14:00:00","2018-01-02",0.699,1514901600000
"2018-01-02 14:15:00","2018-01-02",0.703,1514902500000
"2018-01-02 14:30:00","2018-01-02",0.699,1514903400000
